sme_id,week_start,sessions_assigned
SME001,2026-07-27,2
SME001,2026-08-03,1
SME001,2026-08-10,1
SME001,2026-08-17,2
SME003,2026-07-27,1
SME003,2026-08-03,2
SME003,2026-08-10,1
SME003,2026-08-17,1
SME004,2026-07-27,4
SME004,2026-08-03,5
SME004,2026-08-10,7
SME004,2026-08-17,7
SME005,2026-07-27,3
SME005,2026-08-03,1
SME005,2026-08-10,1
SME005,2026-08-17,2
SME006,2026-07-27,1
SME006,2026-08-03,3
SME006,2026-08-10,3
SME006,2026-08-17,2
SME007,2026-07-27,2
SME007,2026-08-03,1
SME007,2026-08-10,2
SME007,2026-08-17,3
SME008,2026-07-27,1
SME008,2026-08-03,1
SME008,2026-08-10,3
SME008,2026-08-17,1
SME009,2026-07-27,2
SME009,2026-08-03,1
SME009,2026-08-10,3
SME009,2026-08-17,3
SME010,2026-07-27,1
SME010,2026-08-03,5
SME010,2026-08-10,2
SME010,2026-08-17,4
SME011,2026-07-27,6
SME011,2026-08-03,3
SME011,2026-08-10,4
SME011,2026-08-17,5
SME012,2026-07-27,2
SME012,2026-08-03,3
SME012,2026-08-10,2
SME012,2026-08-17,3
SME013,2026-07-27,2
SME013,2026-08-03,2
SME013,2026-08-10,4
SME013,2026-08-17,4
SME014,2026-07-27,8
SME014,2026-08-03,3
SME014,2026-08-10,7
SME014,2026-08-17,7
SME015,2026-07-27,2
SME015,2026-08-03,0
SME015,2026-08-10,1
SME015,2026-08-17,1
SME016,2026-07-27,3
SME016,2026-08-03,4
SME016,2026-08-10,4
SME016,2026-08-17,3
SME017,2026-07-27,2
SME017,2026-08-03,2
SME017,2026-08-10,2
SME017,2026-08-17,3
SME018,2026-07-27,0
SME018,2026-08-03,1
SME018,2026-08-10,0
SME018,2026-08-17,1
SME019,2026-07-27,1
SME019,2026-08-03,0
SME019,2026-08-10,1
SME019,2026-08-17,0
SME020,2026-07-27,1
SME020,2026-08-03,1
SME020,2026-08-10,2
SME020,2026-08-17,2
SME021,2026-07-27,1
SME021,2026-08-03,1
SME021,2026-08-10,0
SME021,2026-08-17,0
SME022,2026-07-27,1
SME022,2026-08-03,2
SME022,2026-08-10,4
SME022,2026-08-17,3
SME023,2026-07-27,3
SME023,2026-08-03,3
SME023,2026-08-10,3
SME023,2026-08-17,2
SME024,2026-07-27,2
SME024,2026-08-03,2
SME024,2026-08-10,1
SME024,2026-08-17,1
SME025,2026-07-27,1
SME025,2026-08-03,1
SME025,2026-08-10,3
SME025,2026-08-17,3
SME026,2026-07-27,1
SME026,2026-08-03,2
SME026,2026-08-10,1
SME026,2026-08-17,1
SME027,2026-07-27,2
SME027,2026-08-03,4
SME027,2026-08-10,5
SME027,2026-08-17,2
SME028,2026-07-27,0
SME028,2026-08-03,1
SME028,2026-08-10,1
SME028,2026-08-17,1
SME029,2026-07-27,2
SME029,2026-08-03,1
SME029,2026-08-10,1
SME029,2026-08-17,1
SME030,2026-07-27,2
SME030,2026-08-03,3
SME030,2026-08-10,7
SME030,2026-08-17,6
SME031,2026-07-27,4
SME031,2026-08-03,3
SME031,2026-08-10,2
SME031,2026-08-17,2
SME032,2026-07-27,0
SME032,2026-08-03,1
SME032,2026-08-10,1
SME032,2026-08-17,1
SME033,2026-07-27,2
SME033,2026-08-03,1
SME033,2026-08-10,1
SME033,2026-08-17,1
SME034,2026-07-27,1
SME034,2026-08-03,1
SME034,2026-08-10,1
SME034,2026-08-17,1
SME035,2026-07-27,2
SME035,2026-08-03,3
SME035,2026-08-10,3
SME035,2026-08-17,2
SME036,2026-07-27,5
SME036,2026-08-03,3
SME036,2026-08-10,4
SME036,2026-08-17,3
SME037,2026-07-27,1
SME037,2026-08-03,2
SME037,2026-08-10,2
SME037,2026-08-17,3
SME038,2026-07-27,2
SME038,2026-08-03,2
SME038,2026-08-10,3
SME038,2026-08-17,1
SME039,2026-07-27,6
SME039,2026-08-03,1
SME039,2026-08-10,3
SME039,2026-08-17,4
SME040,2026-07-27,0
SME040,2026-08-03,1
SME040,2026-08-10,1
SME040,2026-08-17,1
SME041,2026-07-27,3
SME041,2026-08-03,4
SME041,2026-08-10,3
SME041,2026-08-17,4
SME042,2026-07-27,2
SME042,2026-08-03,5
SME042,2026-08-10,3
SME042,2026-08-17,5
SME043,2026-07-27,1
SME043,2026-08-03,2
SME043,2026-08-10,2
SME043,2026-08-17,1
SME044,2026-07-27,5
SME044,2026-08-03,1
SME044,2026-08-10,2
SME044,2026-08-17,3
SME045,2026-07-27,2
SME045,2026-08-03,0
SME045,2026-08-10,0
SME045,2026-08-17,1
SME046,2026-07-27,4
SME046,2026-08-03,5
SME046,2026-08-10,3
SME046,2026-08-17,2
SME047,2026-07-27,2
SME047,2026-08-03,2
SME047,2026-08-10,2
SME047,2026-08-17,2
SME048,2026-07-27,3
SME048,2026-08-03,6
SME048,2026-08-10,4
SME048,2026-08-17,4
SME049,2026-07-27,0
SME049,2026-08-03,1
SME049,2026-08-10,2
SME049,2026-08-17,2
SME050,2026-07-27,2
SME050,2026-08-03,5
SME050,2026-08-10,5
SME050,2026-08-17,7
SME051,2026-07-27,2
SME051,2026-08-03,1
SME051,2026-08-10,2
SME051,2026-08-17,1
SME052,2026-07-27,2
SME052,2026-08-03,1
SME052,2026-08-10,4
SME052,2026-08-17,2
SME053,2026-07-27,2
SME053,2026-08-03,2
SME053,2026-08-10,5
SME053,2026-08-17,2
SME054,2026-07-27,2
SME054,2026-08-03,2
SME054,2026-08-10,2
SME054,2026-08-17,1
SME055,2026-07-27,3
SME055,2026-08-03,3
SME055,2026-08-10,5
SME055,2026-08-17,6
SME056,2026-07-27,4
SME056,2026-08-03,3
SME056,2026-08-10,2
SME056,2026-08-17,1
SME057,2026-07-27,1
SME057,2026-08-03,1
SME057,2026-08-10,1
SME057,2026-08-17,1
SME058,2026-07-27,2
SME058,2026-08-03,2
SME058,2026-08-10,5
SME058,2026-08-17,3
SME059,2026-07-27,4
SME059,2026-08-03,3
SME059,2026-08-10,1
SME059,2026-08-17,3
SME060,2026-07-27,1
SME060,2026-08-03,2
SME060,2026-08-10,3
SME060,2026-08-17,3
SME061,2026-07-27,3
SME061,2026-08-03,3
SME061,2026-08-10,3
SME061,2026-08-17,4
SME062,2026-07-27,4
SME062,2026-08-03,5
SME062,2026-08-10,4
SME062,2026-08-17,2
SME063,2026-07-27,6
SME063,2026-08-03,1
SME063,2026-08-10,1
SME063,2026-08-17,4
SME064,2026-07-27,6
SME064,2026-08-03,6
SME064,2026-08-10,3
SME064,2026-08-17,3
SME065,2026-07-27,2
SME065,2026-08-03,2
SME065,2026-08-10,2
SME065,2026-08-17,1
SME066,2026-07-27,6
SME066,2026-08-03,4
SME066,2026-08-10,2
SME066,2026-08-17,7
SME067,2026-07-27,2
SME067,2026-08-03,2
SME067,2026-08-10,2
SME067,2026-08-17,1
SME068,2026-07-27,3
SME068,2026-08-03,2
SME068,2026-08-10,1
SME068,2026-08-17,1
SME069,2026-07-27,2
SME069,2026-08-03,1
SME069,2026-08-10,1
SME069,2026-08-17,1
SME070,2026-07-27,4
SME070,2026-08-03,1
SME070,2026-08-10,2
SME070,2026-08-17,1
SME071,2026-07-27,2
SME071,2026-08-03,2
SME071,2026-08-10,4
SME071,2026-08-17,3
SME072,2026-07-27,1
SME072,2026-08-03,0
SME072,2026-08-10,0
SME072,2026-08-17,1
SME073,2026-07-27,3
SME073,2026-08-03,2
SME073,2026-08-10,2
SME073,2026-08-17,3
SME074,2026-07-27,2
SME074,2026-08-03,3
SME074,2026-08-10,2
SME074,2026-08-17,1
SME075,2026-07-27,4
SME075,2026-08-03,6
SME075,2026-08-10,3
SME075,2026-08-17,5
SME076,2026-07-27,1
SME076,2026-08-03,1
SME076,2026-08-10,1
SME076,2026-08-17,1
SME077,2026-07-27,8
SME077,2026-08-03,3
SME077,2026-08-10,5
SME077,2026-08-17,6
SME078,2026-07-27,2
SME078,2026-08-03,0
SME078,2026-08-10,1
SME078,2026-08-17,1
SME079,2026-07-27,2
SME079,2026-08-03,1
SME079,2026-08-10,3
SME079,2026-08-17,4
SME080,2026-07-27,7
SME080,2026-08-03,5
SME080,2026-08-10,5
SME080,2026-08-17,2
SME081,2026-07-27,1
SME081,2026-08-03,3
SME081,2026-08-10,3
SME081,2026-08-17,1
SME082,2026-07-27,3
SME082,2026-08-03,2
SME082,2026-08-10,1
SME082,2026-08-17,1
SME083,2026-07-27,5
SME083,2026-08-03,4
SME083,2026-08-10,3
SME083,2026-08-17,3
SME084,2026-07-27,1
SME084,2026-08-03,3
SME084,2026-08-10,3
SME084,2026-08-17,2
SME085,2026-07-27,3
SME085,2026-08-03,2
SME085,2026-08-10,1
SME085,2026-08-17,1
SME086,2026-07-27,1
SME086,2026-08-03,1
SME086,2026-08-10,2
SME086,2026-08-17,2
SME087,2026-07-27,2
SME087,2026-08-03,3
SME087,2026-08-10,5
SME087,2026-08-17,5
SME088,2026-07-27,3
SME088,2026-08-03,3
SME088,2026-08-10,5
SME088,2026-08-17,4
SME089,2026-07-27,3
SME089,2026-08-03,3
SME089,2026-08-10,2
SME089,2026-08-17,1
SME090,2026-07-27,1
SME090,2026-08-03,2
SME090,2026-08-10,2
SME090,2026-08-17,2
SME091,2026-07-27,2
SME091,2026-08-03,0
SME091,2026-08-10,1
SME091,2026-08-17,0
SME092,2026-07-27,2
SME092,2026-08-03,2
SME092,2026-08-10,3
SME092,2026-08-17,3
SME093,2026-07-27,2
SME093,2026-08-03,1
SME093,2026-08-10,2
SME093,2026-08-17,3
SME094,2026-07-27,4
SME094,2026-08-03,2
SME094,2026-08-10,2
SME094,2026-08-17,5
SME095,2026-07-27,1
SME095,2026-08-03,1
SME095,2026-08-10,1
SME095,2026-08-17,1
SME096,2026-07-27,2
SME096,2026-08-03,3
SME096,2026-08-10,4
SME096,2026-08-17,2
SME097,2026-07-27,1
SME097,2026-08-03,1
SME097,2026-08-10,1
SME097,2026-08-17,1
SME098,2026-07-27,3
SME098,2026-08-03,3
SME098,2026-08-10,5
SME098,2026-08-17,2
SME099,2026-07-27,2
SME099,2026-08-03,1
SME099,2026-08-10,2
SME099,2026-08-17,1
SME100,2026-07-27,0
SME100,2026-08-03,3
SME100,2026-08-10,1
SME100,2026-08-17,1
SME002,2026-07-27,2
SME002,2026-08-03,1
SME002,2026-08-10,1
SME002,2026-08-17,2
