event_id,sme_id,title,start_datetime,end_datetime
EVT0001,SME001,Training,2026-08-29T10:00:00,2026-08-29T11:30:00
EVT0002,SME001,Team Meeting,2026-08-26T04:30:00,2026-08-26T05:30:00
EVT0003,SME001,Personal Block,2026-08-27T09:00:00,2026-08-27T09:30:00
EVT0004,SME002,Interview Panel,2026-08-25T09:30:00,2026-08-25T11:00:00
EVT0005,SME002,Client Session,2026-08-28T08:30:00,2026-08-28T10:00:00
EVT0006,SME002,Planning Session,2026-08-25T11:00:00,2026-08-25T11:45:00
EVT0007,SME002,Client Session,2026-08-29T04:00:00,2026-08-29T05:00:00
EVT0008,SME002,Office Hours,2026-08-24T03:30:00,2026-08-24T04:30:00
EVT0009,SME003,Curriculum Review,2026-08-27T04:30:00,2026-08-27T05:00:00
EVT0010,SME003,Planning Session,2026-08-26T05:00:00,2026-08-26T06:30:00
EVT0011,SME003,Curriculum Review,2026-08-24T11:00:00,2026-08-24T12:30:00
EVT0012,SME004,Curriculum Review,2026-08-29T03:30:00,2026-08-29T04:00:00
EVT0013,SME004,Training,2026-08-29T09:30:00,2026-08-29T10:30:00
EVT0014,SME004,Client Session,2026-08-29T07:00:00,2026-08-29T07:30:00
EVT0015,SME004,Office Hours,2026-08-26T11:00:00,2026-08-26T11:30:00
EVT0016,SME004,1:1 Sync,2026-08-26T12:30:00,2026-08-26T13:15:00
EVT0017,SME004,Curriculum Review,2026-08-24T08:30:00,2026-08-24T09:30:00
EVT0018,SME005,Client Session,2026-08-29T14:00:00,2026-08-29T15:30:00
EVT0019,SME005,Team Meeting,2026-08-29T09:30:00,2026-08-29T10:15:00
EVT0020,SME005,Curriculum Review,2026-08-25T02:30:00,2026-08-25T04:00:00
EVT0021,SME006,1:1 Sync,2026-08-28T13:00:00,2026-08-28T14:30:00
EVT0022,SME006,Team Meeting,2026-08-27T02:30:00,2026-08-27T03:30:00
EVT0023,SME006,Client Session,2026-08-26T13:30:00,2026-08-26T15:00:00
EVT0024,SME007,Planning Session,2026-08-29T10:30:00,2026-08-29T11:15:00
EVT0025,SME007,Office Hours,2026-08-25T01:00:00,2026-08-25T01:45:00
EVT0026,SME007,Interview Panel,2026-08-29T00:30:00,2026-08-29T01:00:00
EVT0027,SME007,Client Session,2026-08-25T10:00:00,2026-08-25T11:00:00
EVT0028,SME008,Client Session,2026-08-28T17:00:00,2026-08-28T17:30:00
EVT0029,SME008,Interview Panel,2026-08-28T00:00:00,2026-08-28T00:30:00
EVT0030,SME008,Client Session,2026-08-27T20:30:00,2026-08-27T21:30:00
EVT0031,SME008,Interview Panel,2026-08-30T00:00:00,2026-08-30T01:00:00
EVT0032,SME008,Client Session,2026-08-25T00:00:00,2026-08-25T01:00:00
EVT0033,SME008,Cohort Class,2026-08-24T19:00:00,2026-08-24T20:30:00
EVT0034,SME009,Interview Panel,2026-08-26T10:30:00,2026-08-26T12:00:00
EVT0035,SME009,Planning Session,2026-08-28T02:30:00,2026-08-28T03:00:00
EVT0036,SME009,Client Session,2026-08-27T04:30:00,2026-08-27T06:00:00
EVT0037,SME009,Planning Session,2026-08-24T02:30:00,2026-08-24T03:00:00
EVT0038,SME009,Interview Panel,2026-08-26T09:00:00,2026-08-26T09:45:00
EVT0039,SME009,Curriculum Review,2026-08-25T13:00:00,2026-08-25T14:30:00
EVT0040,SME009,Office Hours,2026-08-25T04:30:00,2026-08-25T05:15:00
EVT0042,SME010,1:1 Sync,2026-08-28T05:30:00,2026-08-28T06:00:00
EVT0043,SME010,Office Hours,2026-08-24T12:00:00,2026-08-24T12:45:00
EVT0044,SME010,Team Meeting,2026-08-29T12:30:00,2026-08-29T13:30:00
EVT0045,SME011,Cohort Class,2026-08-24T05:00:00,2026-08-24T06:30:00
EVT0046,SME011,Training,2026-08-25T12:30:00,2026-08-25T13:00:00
EVT0047,SME011,Training,2026-08-26T06:00:00,2026-08-26T07:00:00
EVT0048,SME011,Team Meeting,2026-08-28T09:30:00,2026-08-28T10:00:00
EVT0049,SME012,1:1 Sync,2026-08-25T02:00:00,2026-08-25T03:30:00
EVT0050,SME012,Planning Session,2026-08-24T01:00:00,2026-08-24T02:30:00
