sme_id,topic,class_type,sessions_delivered,avg_learner_rating,avg_quality_score,reliability_score
SME001,Resume Review,Assessment Review,2,4.61,88.8,73.4
SME001,Behavioral Interviews,Workshop,4,3.96,73.4,76.7
SME002,Resume Review,Workshop,10,5.0,100,73.5
SME002,Data Structures & Algorithms,Assessment Review,8,3.94,83.6,82.3
SME002,SQL,Mock Interview,3,3.32,70.6,76.2
SME002,SQL,Cohort Class,4,4.47,84.2,76.1
SME003,Cloud Computing,Mock Interview,1,4.08,76.5,81.1
SME003,Data Structures & Algorithms,Doubt Clearing,3,3.22,64.8,81.3
SME004,Behavioral Interviews,Workshop,5,3.24,69.1,83.1
SME004,Behavioral Interviews,Assessment Review,10,3.53,73.0,72.3
SME004,Statistics,Office Hours,8,3.28,65.6,78.3
SME005,Behavioral Interviews,Office Hours,8,4.04,83.8,76.7
SME005,Behavioral Interviews,Doubt Clearing,5,4.46,83.9,77.9
SME006,Aptitude,Office Hours,2,3.45,70.6,80.0
SME006,Aptitude,Assessment Review,5,4.18,82.0,80.9
SME007,Product Management,Mock Interview,3,4.24,80.8,79.4
SME007,Product Management,Doubt Clearing,31,4.47,94.7,85.3
SME008,Data Analytics,Mock Interview,1,4.52,92.6,75.3
SME008,Data Analytics,Doubt Clearing,31,4.02,84.0,79.8
SME008,Product Strategy,Assessment Review,9,4.09,82.5,83.9
SME008,Product Strategy,Mock Interview,6,4.47,84.4,77.8
SME008,SQL,Assessment Review,2,3.56,75.1,74.2
SME008,SQL,Workshop,2,3.07,63.6,78.2
SME009,Career Coaching,Assessment Review,11,3.71,75.9,84.8
SME010,JavaScript,Cohort Class,3,4.23,81.6,72.6
SME011,DevOps,Office Hours,11,3.63,69.3,76.6
SME012,JavaScript,Office Hours,1,4.53,92.1,80.1
SME012,Product Management,Office Hours,6,3.46,72.1,72.5
SME013,Python,Workshop,12,3.99,77.4,74.8
SME013,Python,Office Hours,15,4.63,97.2,83.6
SME013,Java,Assessment Review,8,4.72,88.7,84.2
SME014,Python,Assessment Review,8,5.0,98.2,83.4
SME014,Python,Cohort Class,9,3.93,82.2,73.3
SME014,Product Management,Cohort Class,9,4.18,88.0,83.0
SME014,Product Management,Mock Interview,2,4.97,99.1,80.3
SME014,SQL,Cohort Class,6,3.94,76.7,75.5
SME014,SQL,Doubt Clearing,3,3.84,76.7,81.8
SME014,Statistics,Office Hours,5,3.3,63.5,75.3
SME014,Statistics,Doubt Clearing,5,4.08,80.0,78.0
SME015,Python,Mock Interview,5,4.35,81.8,72.8
SME015,Mock Interviews,Assessment Review,13,3.56,76.2,84.5
SME015,Mock Interviews,Office Hours,24,4.64,93.7,82.3
SME015,Resume Review,Assessment Review,8,4.45,86.8,75.2
SME015,Resume Review,Office Hours,1,3.67,73.8,74.6
SME016,Machine Learning,Assessment Review,9,4.67,94.9,78.8
SME016,Java,Workshop,2,3.56,73.8,75.3
SME016,Resume Review,Doubt Clearing,3,4.35,84.3,73.0
SME017,Product Strategy,Office Hours,8,4.01,81.5,77.3
SME017,Data Analytics,Office Hours,4,4.16,79.0,79.4
SME017,DevOps,Cohort Class,29,3.75,76.6,80.1
SME017,Mock Interviews,Cohort Class,4,3.33,68.0,76.5
SME018,Product Management,Office Hours,1,4.06,83.2,82.4
SME018,Product Management,Assessment Review,22,4.18,89.1,74.2
SME019,Mock Interviews,Workshop,13,4.93,93.4,76.3
SME019,Mock Interviews,Office Hours,13,4.43,90.5,82.9
SME019,Python,Assessment Review,4,4.39,82.0,78.3
SME019,Python,Office Hours,39,5.0,100,79.5
SME020,Python,Office Hours,1,4.24,83.3,78.2
SME020,Python,Assessment Review,20,4.72,93.5,82.4
SME020,SQL,Workshop,6,3.99,79.8,78.9
SME020,Cloud Computing,Assessment Review,1,3.93,78.0,83.1
SME021,SQL,Workshop,30,4.83,98.4,85.0
SME021,SQL,Mock Interview,14,4.6,92.1,84.8
SME021,JavaScript,Mock Interview,4,4.57,88.1,79.8
SME022,Python,Workshop,12,4.84,99.6,73.6
SME022,Python,Mock Interview,10,4.66,95.0,81.7
SME022,System Design,Cohort Class,15,3.99,78.0,82.2
SME022,Machine Learning,Office Hours,5,4.07,85.7,78.8
SME023,React,Doubt Clearing,12,3.56,76.0,76.3
SME023,React,Cohort Class,14,4.49,89.2,84.4
SME024,Behavioral Interviews,Workshop,7,4.36,89.9,71.9
SME024,Python,Assessment Review,3,4.92,93.5,72.8
SME024,Python,Office Hours,21,4.95,95.0,83.7
SME024,Statistics,Assessment Review,5,3.98,78.8,72.2
SME024,Resume Review,Mock Interview,8,4.03,80.6,74.9
SME024,Resume Review,Workshop,2,3.61,70.4,79.7
SME025,Cloud Computing,Mock Interview,34,4.64,91.4,84.0
SME026,Python,Workshop,5,4.21,78.4,77.0
SME026,Data Structures & Algorithms,Cohort Class,2,4.86,94.5,70.5
SME026,Data Structures & Algorithms,Mock Interview,15,3.99,80.2,74.6
SME026,Data Structures & Algorithms,Workshop,15,4.82,94.8,84.7
SME027,SQL,Doubt Clearing,1,4.43,82.7,75.0
SME027,Aptitude,Workshop,22,4.84,95.7,83.9
SME027,Aptitude,Office Hours,12,4.42,87.6,72.8
SME027,Machine Learning,Office Hours,4,3.51,72.2,77.4
SME028,Resume Review,Doubt Clearing,11,3.9,74.4,77.7
SME028,Mock Interviews,Workshop,1,3.66,75.5,70.4
SME029,Resume Review,Cohort Class,13,3.8,73.5,79.2
SME029,Data Structures & Algorithms,Cohort Class,31,3.93,75.3,85.1
SME029,SQL,Assessment Review,6,4.47,84.9,82.8
SME029,SQL,Workshop,7,3.57,66.9,72.9
SME030,Product Management,Cohort Class,15,5.0,100,85.2
SME030,Product Management,Doubt Clearing,15,4.57,87.5,75.7
SME030,Product Management,Workshop,8,4.13,79.4,71.8
SME031,Product Strategy,Office Hours,1,3.52,69.2,79.3
SME031,Product Strategy,Cohort Class,3,3.58,71.2,80.3
SME032,Data Analytics,Doubt Clearing,23,4.78,97.7,81.6
SME032,Data Analytics,Office Hours,9,4.34,80.9,78.3
SME032,Mock Interviews,Mock Interview,3,4.95,97.5,76.1
SME033,Data Analytics,Mock Interview,26,4.5,92.4,76.7
SME033,Data Analytics,Workshop,7,4.75,92.5,81.6
SME033,Cloud Computing,Office Hours,6,3.87,79.5,72.0
SME033,Cloud Computing,Workshop,9,3.6,75.8,75.0
SME033,Cloud Computing,Assessment Review,13,3.67,69.8,79.8
SME033,Data Structures & Algorithms,Doubt Clearing,2,3.92,81.8,72.8
SME033,Data Structures & Algorithms,Workshop,15,4.81,99.3,80.4
SME033,React,Doubt Clearing,6,3.99,79.4,75.7
SME033,Aptitude,Office Hours,8,3.9,75.4,81.2
SME034,SQL,Doubt Clearing,10,3.94,75.8,71.9
SME034,Product Management,Office Hours,7,3.14,66.1,78.6
SME035,Machine Learning,Office Hours,14,4.17,83.6,81.7
SME035,Product Management,Workshop,9,3.88,77.8,83.4
SME035,Product Management,Doubt Clearing,14,5.0,98.4,73.3
SME036,Data Structures & Algorithms,Cohort Class,14,3.72,80.2,78.9
SME036,Data Structures & Algorithms,Assessment Review,13,4.89,92.9,80.7
SME036,Python,Office Hours,4,3.67,72.9,74.4
SME036,Java,Assessment Review,7,3.99,84.6,72.4
SME037,Data Structures & Algorithms,Doubt Clearing,8,4.51,91.5,76.2
SME037,Data Analytics,Office Hours,4,4.27,83.2,81.7
SME038,React,Assessment Review,2,4.1,80.3,79.5
SME038,React,Cohort Class,2,4.61,86.4,83.0
SME039,Java,Cohort Class,38,4.72,99.8,77.0
SME039,Java,Doubt Clearing,33,4.61,87.0,79.6
SME039,Java,Office Hours,34,4.3,82.1,87.7
SME039,Machine Learning,Office Hours,2,4.38,88.9,80.0
SME039,Behavioral Interviews,Assessment Review,6,3.3,61.8,75.4
SME039,Behavioral Interviews,Cohort Class,7,4.28,84.0,81.4
SME040,Machine Learning,Doubt Clearing,10,4.33,84.8,72.8
SME040,Machine Learning,Mock Interview,7,4.15,87.1,80.4
SME040,Statistics,Assessment Review,5,3.81,76.8,80.7
SME040,Statistics,Workshop,1,3.77,74.8,75.5
SME040,Mock Interviews,Mock Interview,13,4.28,86.9,76.0
SME041,React,Cohort Class,12,5.0,100,74.2
SME041,Data Structures & Algorithms,Doubt Clearing,5,3.15,68.3,76.5
SME042,Resume Review,Workshop,27,4.04,79.3,82.2
SME042,Product Management,Cohort Class,1,4.79,94.4,80.6
SME042,Machine Learning,Mock Interview,14,4.68,95.7,84.6
SME042,Cloud Computing,Mock Interview,3,4.29,88.4,79.5
SME042,Java,Office Hours,4,3.52,67.1,75.4
SME043,React,Doubt Clearing,12,3.99,74.5,74.7
SME043,React,Office Hours,38,4.21,80.6,84.7
SME043,React,Assessment Review,2,4.04,78.1,80.6
SME043,System Design,Office Hours,10,4.7,89.5,77.1
SME044,Python,Mock Interview,12,4.33,91.3,75.2
SME044,SQL,Doubt Clearing,1,3.86,75.4,82.7
SME045,Product Strategy,Workshop,1,3.87,77.2,77.7
SME045,Machine Learning,Workshop,6,3.7,73.0,77.5
SME046,Python,Cohort Class,8,4.08,86.3,83.6
SME046,Machine Learning,Mock Interview,7,3.96,84.0,80.6
SME046,JavaScript,Cohort Class,3,3.91,76.4,79.3
SME046,JavaScript,Mock Interview,3,3.52,74.5,77.8
SME047,Mock Interviews,Doubt Clearing,3,3.99,78.4,73.1
SME047,Mock Interviews,Workshop,10,3.34,69.5,80.8
SME047,Mock Interviews,Assessment Review,34,3.88,81.4,79.9
SME047,DevOps,Mock Interview,8,3.84,75.6,79.3
SME048,Aptitude,Mock Interview,35,4.27,81.9,87.8
SME048,Aptitude,Assessment Review,14,3.53,72.9,74.7
SME048,Data Analytics,Office Hours,6,4.29,85.9,78.0
SME048,Data Analytics,Workshop,21,4.2,88.4,77.6
SME048,Resume Review,Cohort Class,6,4.05,84.7,76.0
SME049,JavaScript,Assessment Review,11,4.28,85.8,72.9
SME049,JavaScript,Workshop,1,3.84,76.3,72.4
SME049,Machine Learning,Assessment Review,5,4.25,84.4,83.7
SME049,Machine Learning,Workshop,4,4.37,90.7,76.2
SME049,React,Assessment Review,4,4.27,81.6,76.4
SME049,React,Doubt Clearing,40,4.92,95.6,85.0
SME049,Product Management,Office Hours,3,4.1,78.2,81.0
SME049,Product Management,Workshop,6,3.56,75.1,83.7
SME050,React,Office Hours,12,4.76,100,84.5
SME050,System Design,Cohort Class,20,4.25,89.3,77.5
SME050,System Design,Mock Interview,3,3.99,78.2,78.7
SME050,Python,Cohort Class,2,3.74,72.4,81.7
SME051,Java,Workshop,15,4.02,78.8,81.6
SME051,Java,Mock Interview,33,4.69,90.0,81.9
SME052,Python,Mock Interview,13,4.1,78.5,83.8
SME052,Career Coaching,Cohort Class,8,3.05,65.2,77.3
SME052,Career Coaching,Assessment Review,7,3.17,67.7,79.6
SME053,Aptitude,Mock Interview,2,4.05,76.1,72.5
SME053,SQL,Mock Interview,7,3.73,79.5,73.9
SME054,DevOps,Office Hours,3,3.84,78.6,72.1
SME054,SQL,Assessment Review,8,3.25,62.2,72.7
SME054,SQL,Doubt Clearing,6,3.36,68.6,81.6
SME055,SQL,Assessment Review,4,4.13,84.5,73.4
SME055,SQL,Doubt Clearing,10,4.22,87.8,83.3
SME055,SQL,Cohort Class,1,4.54,85.2,74.3
SME055,Python,Mock Interview,7,4.41,86.9,81.3
SME055,Java,Assessment Review,3,4.19,86.2,71.2
SME055,Java,Mock Interview,23,4.2,84.1,81.6
SME055,Communication Skills,Cohort Class,6,4.29,81.4,78.4
SME056,Python,Assessment Review,2,4.62,98.3,71.2
SME056,Mock Interviews,Cohort Class,28,4.47,89.4,80.1
SME056,System Design,Cohort Class,3,3.3,65.9,73.1
SME056,System Design,Office Hours,3,3.73,73.0,81.3
SME056,SQL,Cohort Class,5,4.21,80.1,71.6
SME057,JavaScript,Workshop,3,4.42,85.4,80.1
SME058,Mock Interviews,Assessment Review,1,3.92,78.2,80.3
SME058,Cloud Computing,Doubt Clearing,2,4.59,87.1,74.7
SME058,Cloud Computing,Mock Interview,12,3.82,75.4,73.0
SME058,DevOps,Mock Interview,1,3.58,73.2,73.5
SME059,Java,Office Hours,5,3.58,77.1,82.1
SME059,Product Management,Workshop,6,3.7,79.5,81.4
SME060,Java,Assessment Review,1,4.02,83.2,71.2
SME060,Java,Workshop,12,4.16,86.6,78.7
SME060,Data Structures & Algorithms,Workshop,2,4.42,85.2,74.4
SME061,Statistics,Workshop,1,4.16,80.3,73.3
SME061,Resume Review,Workshop,40,4.38,84.5,79.2
SME061,Machine Learning,Workshop,1,3.44,64.8,81.6
SME062,Product Management,Cohort Class,3,5.0,96.4,83.1
SME062,Product Management,Workshop,2,4.05,76.2,77.1
SME062,Product Management,Mock Interview,9,4.34,85.9,78.1
SME062,Cloud Computing,Workshop,4,4.15,86.1,74.1
SME062,Cloud Computing,Cohort Class,10,4.51,92.5,75.2
SME062,Java,Doubt Clearing,3,3.83,80.7,72.6
SME063,System Design,Workshop,7,4.37,83.1,72.3
SME063,System Design,Cohort Class,25,4.63,98.1,85.0
SME063,JavaScript,Cohort Class,4,3.93,84.0,74.6
SME064,Machine Learning,Doubt Clearing,30,4.28,90.4,76.3
SME064,Machine Learning,Cohort Class,19,4.1,76.1,74.9
SME065,Machine Learning,Mock Interview,8,4.93,92.7,73.9
SME065,Machine Learning,Cohort Class,6,4.0,76.3,72.6
SME065,Product Management,Cohort Class,7,3.76,80.9,80.0
SME065,Product Management,Doubt Clearing,3,3.5,72.6,76.3
SME066,Data Structures & Algorithms,Office Hours,7,4.66,88.6,77.4
SME067,Aptitude,Workshop,1,4.34,89.9,83.1
SME067,Product Management,Cohort Class,7,4.01,79.6,77.5
SME068,Python,Office Hours,4,4.09,77.0,80.8
SME068,Python,Mock Interview,2,4.64,86.8,83.0
SME068,Python,Workshop,3,4.04,77.3,80.1
SME068,React,Doubt Clearing,7,3.84,72.8,73.5
SME068,React,Office Hours,6,4.39,82.7,71.4
SME068,Mock Interviews,Office Hours,3,3.9,72.1,82.0
SME068,Mock Interviews,Assessment Review,8,3.34,72.3,72.1
SME069,System Design,Cohort Class,9,4.47,93.9,80.8
SME069,System Design,Office Hours,26,3.78,73.1,76.2
SME070,Python,Office Hours,18,4.27,86.6,74.3
SME071,Python,Doubt Clearing,39,5.0,100,84.4
SME071,Product Strategy,Office Hours,13,4.61,91.2,74.4
SME071,Cloud Computing,Assessment Review,6,4.98,94.3,76.1
SME072,DevOps,Office Hours,13,4.19,78.7,74.0
SME072,DevOps,Cohort Class,7,4.04,79.1,83.7
SME072,DevOps,Doubt Clearing,37,4.79,96.3,79.4
SME072,Python,Cohort Class,6,3.0,64.3,76.0
SME073,Product Strategy,Doubt Clearing,10,4.2,80.2,81.9
SME073,Product Strategy,Workshop,14,4.08,78.0,72.8
SME073,System Design,Mock Interview,18,4.06,85.3,74.0
SME073,Cloud Computing,Cohort Class,10,4.96,94.4,73.7
SME073,Cloud Computing,Mock Interview,1,4.82,95.7,82.2
