sme_id,preferred_topics,preferred_class_types,preferred_start_time,preferred_end_time
SME001,"[""Resume Review"", ""Behavioral Interviews""]","[""Doubt Clearing"", ""Mock Interview""]",09:00,19:00
SME002,"[""Resume Review""]","[""Mock Interview""]",14:00,18:00
SME003,"[""Cloud Computing"", ""Data Structures & Algorithms""]","[""Doubt Clearing"", ""Mock Interview""]",09:00,19:00
SME004,"[""Behavioral Interviews""]","[""Office Hours""]",10:00,14:00
SME005,"[""Behavioral Interviews""]","[""Doubt Clearing""]",10:00,14:00
SME006,"[""Aptitude""]","[""Mock Interview""]",14:00,18:00
SME007,"[""Product Management""]","[""Assessment Review""]",14:00,18:00
SME008,"[""Data Analytics""]","[""Workshop""]",10:00,18:00
SME009,"[""Career Coaching""]","[""Doubt Clearing"", ""Cohort Class""]",09:00,19:00
SME010,"[""JavaScript""]","[""Assessment Review""]",09:00,13:00
SME011,"[""DevOps""]","[""Cohort Class""]",09:00,13:00
SME012,"[""JavaScript""]","[""Doubt Clearing""]",10:00,14:00
SME013,"[""Python"", ""Java""]","[""Mock Interview"", ""Assessment Review"", ""Doubt Clearing""]",09:00,19:00
SME014,"[""Python"", ""Product Management"", ""SQL""]","[""Workshop"", ""Office Hours""]",09:00,19:00
SME015,"[""Python""]","[""Assessment Review""]",14:00,18:00
SME016,"[""Machine Learning""]","[""Mock Interview""]",10:00,14:00
SME017,"[""Product Strategy"", ""Data Analytics""]","[""Doubt Clearing"", ""Assessment Review"", ""Office Hours""]",09:00,19:00
SME018,"[""Product Management""]","[""Workshop"", ""Doubt Clearing"", ""Mock Interview""]",09:00,19:00
SME019,"[""Mock Interviews"", ""Python""]","[""Workshop"", ""Cohort Class"", ""Office Hours""]",09:00,19:00
SME020,"[""Python""]","[""Mock Interview""]",14:00,18:00
SME021,"[""SQL""]","[""Doubt Clearing""]",14:00,18:00
SME022,"[""Python"", ""System Design"", ""Machine Learning""]","[""Office Hours"", ""Cohort Class""]",09:00,19:00
SME023,"[""React""]","[""Assessment Review""]",09:00,13:00
SME024,"[""Behavioral Interviews""]","[""Assessment Review""]",09:00,13:00
SME025,"[""Cloud Computing""]","[""Office Hours"", ""Workshop"", ""Doubt Clearing""]",09:00,19:00
SME026,"[""Python""]","[""Workshop"", ""Cohort Class"", ""Mock Interview""]",09:00,19:00
SME027,"[""SQL""]","[""Assessment Review""]",10:00,14:00
SME028,"[""Resume Review""]","[""Workshop""]",10:00,14:00
SME029,"[""Resume Review"", ""Data Structures & Algorithms"", ""SQL""]","[""Doubt Clearing"", ""Cohort Class""]",09:00,19:00
SME030,"[""Product Management""]","[""Office Hours"", ""Assessment Review""]",09:00,19:00
SME031,"[""Product Strategy""]","[""Office Hours""]",09:00,13:00
SME032,"[""Data Analytics""]","[""Workshop"", ""Cohort Class"", ""Office Hours""]",09:00,19:00
SME033,"[""Data Analytics"", ""Cloud Computing"", ""Data Structures & Algorithms""]","[""Mock Interview"", ""Workshop"", ""Cohort Class""]",09:00,19:00
SME034,"[""SQL""]","[""Doubt Clearing""]",10:00,14:00
SME035,"[""Machine Learning""]","[""Assessment Review"", ""Doubt Clearing""]",09:00,19:00
SME036,"[""Data Structures & Algorithms""]","[""Mock Interview""]",14:00,18:00
SME037,"[""Data Structures & Algorithms"", ""Data Analytics""]","[""Doubt Clearing"", ""Mock Interview""]",09:00,19:00
SME038,"[""React""]","[""Assessment Review""]",14:00,18:00
